ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,weekly,weekly_lower,weekly_upper,yearly,yearly_lower,yearly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
2014-12-31,283.9135335958333,270.65298977913517,277.7992777219317,283.9135335958333,283.9135335958333,-9.672324084074143,-9.672324084074143,-9.672324084074143,-0.10679862423129982,-0.10679862423129982,-0.10679862423129982,-9.565525459842842,-9.565525459842842,-9.565525459842842,0.0,0.0,0.0,274.24120951175917
2015-01-01,283.99609292315193,270.8314213810663,277.85676196580107,283.99609292315193,283.99609292315193,-9.706460738946813,-9.706460738946813,-9.706460738946813,-0.03585423909928927,-0.03585423909928927,-0.03585423909928927,-9.670606499847523,-9.670606499847523,-9.670606499847523,0.0,0.0,0.0,274.2896321842051
2015-01-02,284.07865225047055,271.0600315658021,278.1460729668226,284.07865225047055,284.07865225047055,-9.65139943408903,-9.65139943408903,-9.65139943408903,0.11555126436472284,0.11555126436472284,0.11555126436472284,-9.766950698453751,-9.766950698453751,-9.766950698453751,0.0,0.0,0.0,274.4272528163815
2015-01-03,284.1612115777892,270.7405605787341,277.6607572342211,284.1612115777892,284.1612115777892,-9.940482944635015,-9.940482944635015,-9.940482944635015,-0.087643377504417,-0.087643377504417,-0.087643377504417,-9.852839567130594,-9.852839567130594,-9.852839567130594,0.0,0.0,0.0,274.2207286331542
2015-01-04,284.2437709051078,270.81989742951976,277.95912623286193,284.2437709051078,284.2437709051078,-9.947839031873052,-9.947839031873052,-9.947839031873052,-0.021000589975401784,-0.021000589975401784,-0.021000589975401784,-9.92683844189765,-9.92683844189765,-9.92683844189765,0.0,0.0,0.0,274.29593187323474
2015-01-05,284.3263302324264,270.86697580636053,278.01972358634856,284.3263302324264,284.3263302324264,-9.851283742456019,-9.851283742456019,-9.851283742456019,0.1365492800017458,0.1365492800017458,0.1365492800017458,-9.987833022457767,-9.987833022457767,-9.987833022457767,0.0,0.0,0.0,274.4750464899704
2015-01-06,284.40888955974503,270.84025028481335,278.084989375119,284.40888955974503,284.40888955974503,-10.035859732292868,-10.035859732292868,-10.035859732292868,-0.0008037135550150874,-0.0008037135550150874,-0.0008037135550150874,-10.035056018737851,-10.035056018737851,-10.035056018737851,0.0,0.0,0.0,274.37302982745217
2015-01-07,284.4914488870636,270.8392917287826,278.18401125900544,284.4914488870636,284.4914488870636,-10.17490183652364,-10.17490183652364,-10.17490183652364,-0.1067986242313947,-0.1067986242313947,-0.1067986242313947,-10.068103212292245,-10.068103212292245,-10.068103212292245,0.0,0.0,0.0,274.31654705053995
2015-01-08,284.5740082143823,270.73470729694793,278.02154979154204,284.5740082143823,284.5740082143823,-10.122792791377007,-10.122792791377007,-10.122792791377007,-0.03585423909914789,-0.03585423909914789,-0.03585423909914789,-10.086938552277859,-10.086938552277859,-10.086938552277859,0.0,0.0,0.0,274.4512154230053
2015-01-09,284.6565675417009,271.10542493176956,278.4395345549045,284.6565675417009,284.6565675417009,-9.976336963439923,-9.976336963439923,-9.976336963439923,0.11555126436473981,0.11555126436473981,0.11555126436473981,-10.091888227804663,-10.091888227804663,-10.091888227804663,0.0,0.0,0.0,274.680230578261
