horizon,mse,rmse,mae,mape,mdape,smape,coverage
65 days,13.955889131406499,3.7357581735715306,2.9786595982526833,0.01042480357922978,0.008808370766124896,0.010431202255006404,0.6850152905198778
66 days,14.063993683473976,3.7501991525083005,3.013061201963816,0.010544876941538479,0.0092374935463484,0.01055096641646691,0.6850152905198778
67 days,14.039497306485435,3.746931718951579,3.0046146402437297,0.010520537919216394,0.009196258300461632,0.010525935592800148,0.6788990825688074
68 days,14.259406969599919,3.776162995634579,2.9942598976297803,0.010487693720617487,0.009119294690896717,0.010495090174293552,0.6819571865443425
69 days,14.558157349361197,3.8155153451874884,3.004713720265267,0.010522370467302346,0.008808370766124896,0.010532829717989077,0.6850152905198778
70 days,14.85465818734223,3.8541741251975408,3.045705551892721,0.010664062890209302,0.009086238725903714,0.010676785756897586,0.6788990825688074
71 days,15.059549480217777,3.88066353607444,3.072185484768307,0.010751885729591824,0.009119294690896717,0.010768024412900715,0.6758409785932722
72 days,15.118756650445691,3.888284538256645,3.068262312157016,0.01073064969876238,0.009119294690896717,0.010752384416811122,0.672782874617737
73 days,15.055524339354273,3.8801448863868826,3.0470540550099883,0.010653831285329065,0.009086238725903714,0.010682381946529517,0.6819571865443425
74 days,15.252023221430075,3.9053838763212605,3.0523358422130493,0.010666952490080811,0.008987992300473242,0.010702379961122594,0.691131498470948
75 days,15.084032722435207,3.8838167725106714,3.034535391203732,0.010600349006730963,0.008987992300473242,0.010638894808399302,0.6941896024464832
76 days,14.94199749568179,3.865488002268509,3.032650313723719,0.010590665354828294,0.008987992300473242,0.010630072065616721,0.6941896024464832
77 days,14.957975281046103,3.867554172994362,3.044609116547437,0.010634923685240947,0.008987992300473242,0.010674132148891525,0.6972477064220184
78 days,15.211925782547393,3.900246887383848,3.09315735227214,0.010812229795595821,0.009086238725903714,0.01084959255749235,0.6880733944954128
79 days,15.5699551207313,3.945878244539649,3.1618402208871226,0.011060519468925905,0.009196258300461632,0.011095688170164377,0.6788990825688074
80 days,15.694632584383431,3.961645186583906,3.19599570987763,0.011181840658500296,0.0092374935463484,0.011217339531596614,0.6758409785932722
81 days,15.800081789821768,3.9749316710884184,3.2284286120336336,0.011300224700759582,0.009261077606956044,0.011335149947842172,0.6697247706422018
82 days,15.978276128299777,3.99728359367956,3.272483758327461,0.011457462737078322,0.009488317821290976,0.011492570530585888,0.6697247706422018
83 days,16.20410574490794,4.025432367449234,3.324277352329678,0.011643394572902543,0.010198563169349742,0.01167883191413223,0.6605504587155964
84 days,16.435583964044987,4.0540823824936005,3.3607226609895053,0.011775006412172787,0.010296529244334936,0.011810955391326391,0.6574923547400612
85 days,16.59234259917129,4.073369931539645,3.369851101270487,0.011810385436187069,0.010198563169349742,0.011847062708029026,0.6636085626911314
86 days,16.483229732338632,4.059954400278238,3.3531927943219104,0.011757100613894705,0.010198563169349742,0.011793294429997905,0.672782874617737
87 days,16.56269274018003,4.069728828826317,3.376511571046158,0.011840288445777211,0.010296529244334936,0.011876997641854422,0.6788990825688074
88 days,16.654694815375507,4.081016394891781,3.387858505433691,0.011878745152569205,0.010574682945112556,0.011916448930241817,0.6788990825688074
89 days,16.851014249485303,4.104998690558293,3.4256362008549033,0.012006825150757131,0.010771567537017959,0.012046526915755027,0.6666666666666667
90 days,16.79154944359408,4.097749314391264,3.443025584480166,0.012058162516394728,0.010827340534450494,0.012101100531722827,0.6574923547400612
91 days,16.645974915426773,4.079947905969728,3.437746356311103,0.012027743431136747,0.010827340534450494,0.012075931250802849,0.654434250764526
92 days,16.810563368620674,4.100068702914705,3.4384572590316878,0.012018000770142836,0.010771567537017959,0.012072661785606434,0.6483180428134557
93 days,17.194972510100225,4.146682108638209,3.4864392324250213,0.012177227420806088,0.010903181798865605,0.012236709417812183,0.6330275229357798
94 days,17.585536425374375,4.193511228716859,3.5532589243482184,0.012397825702650885,0.011080955513433422,0.012463356682608746,0.6207951070336392
95 days,17.845873712680948,4.224437680056477,3.5955815638587945,0.012537963676192183,0.011080955513433422,0.012607096469526131,0.6146788990825688
96 days,18.25687802979861,4.272806809323189,3.6357540188390876,0.012672503771886612,0.011640466634351906,0.012744326703912085,0.6116207951070337
97 days,18.61673583877018,4.314711559162464,3.6694184271391923,0.012785783264856727,0.011640466634351906,0.012858687642667128,0.6085626911314984
98 days,19.059025357493937,4.365664366106714,3.7067256802551505,0.01291232985799286,0.011640466634351906,0.012986209583843195,0.6024464831804281
99 days,19.625459737223853,4.430063175308435,3.764873330230596,0.013121194344159265,0.011764102314536633,0.013190764759012909,0.5932721712538227
100 days,20.032820271261524,4.475803868721409,3.8017471096345345,0.01325671755527406,0.011764102314536633,0.01332173433411848,0.5902140672782874
101 days,20.242330607207574,4.4991477645447,3.827039606269187,0.013347090357911512,0.011764102314536633,0.013409375183424103,0.581039755351682
102 days,20.906766608424206,4.572391782035329,3.887741562410392,0.013555354836116276,0.01219472349713688,0.013618244933712716,0.5749235474006116
103 days,22.292594005774692,4.721503362889271,4.017184981119207,0.013994807381171185,0.012266727545894683,0.014062977567861505,0.5565749235474006
104 days,22.643135586242575,4.7584803862412395,4.083258492731371,0.014220396594520216,0.012988303266453973,0.014289086710376047,0.5474006116207951
105 days,22.23170800659158,4.715051219932991,4.053673625436585,0.014118776166343588,0.012988303266453973,0.014184141852337637,0.5565749235474006
106 days,21.917861955092295,4.681651626839859,4.022327714847798,0.014010772258792955,0.012266727545894683,0.014073209093996836,0.5657492354740061
107 days,21.669002733493823,4.654997608323105,3.9923186222067484,0.013907695835727303,0.012254663934958,0.013967919647831636,0.5749235474006116
108 days,21.677804332999102,4.65594290482595,3.9841847601126985,0.013878071119743422,0.012254663934958,0.013938390867515941,0.581039755351682
109 days,21.76712442961219,4.66552509687947,4.004689814911673,0.01394508264717251,0.012254663934958,0.014006066746484946,0.5840978593272171
110 days,21.484675924163952,4.635156515605914,3.9650606872736907,0.013804171660543301,0.011764102314536633,0.01386459460077338,0.5840978593272171
111 days,21.110794803530634,4.594648496188869,3.904690229498639,0.013591376427993166,0.011764102314536633,0.013651158215529691,0.5932721712538227
112 days,20.87684684734498,4.569118826135405,3.8626169092104607,0.013440415584762104,0.011640466634351906,0.01350089245282422,0.6024464831804281
113 days,20.783508785689733,4.55889337292393,3.850809815257713,0.013392910066741953,0.011080955513433422,0.013454933663062225,0.6055045871559633
114 days,20.69475060272566,4.5491483381755815,3.842897516686314,0.0133564497697687,0.011077192824261556,0.013420946492932361,0.6116207951070337
115 days,20.716780057094883,4.551568966531748,3.8461478282278123,0.013355468333883165,0.011080955513433422,0.013424130782252304,0.6116207951070337
116 days,20.53134281260148,4.53115248172046,3.8136143108653417,0.013235153492857095,0.011077192824261556,0.013305661217742957,0.6207951070336392
117 days,20.444787609143393,4.521591269580146,3.7973935574493827,0.013173574073876187,0.011077192824261556,0.013245780109458401,0.6299694189602447
118 days,20.64977204569557,4.544202025185013,3.7979647558372416,0.0131706142866854,0.011080955513433422,0.013244924720518754,0.6238532110091743
119 days,21.330979202188868,4.618547304314298,3.852697918805098,0.013360808030665965,0.011080955513433422,0.013433649015319812,0.6116207951070337
120 days,21.85323796470513,4.674744695136316,3.887078153175632,0.013483797014444982,0.011080955513433422,0.01355200915172537,0.6116207951070337
121 days,21.94096310736679,4.684118178202466,3.8881976582890636,0.013490826555396797,0.012254663934958,0.013554392408702402,0.6116207951070337
122 days,22.16600327903906,4.708078512412368,3.916839923513879,0.013590700860039774,0.012266727545894683,0.01365232165790729,0.6116207951070337
123 days,22.629475360948383,4.757044813846973,3.9544101826791715,0.013717829728081448,0.012266727545894683,0.013780102363102682,0.6055045871559633
124 days,23.084697548136997,4.804653738630599,3.999428660572851,0.013871187949260167,0.012988303266453973,0.013934588288895508,0.5963302752293578
125 days,23.010686605766338,4.7969455495936515,3.981334452630484,0.013807556227573072,0.01237020603031203,0.0138707065721513,0.6085626911314984
126 days,22.698300212701454,4.76427331423182,3.911514612764746,0.01356647023561672,0.011461937186380182,0.013627633705927254,0.6269113149847094
127 days,22.361732030713817,4.728819306202534,3.8501026102261915,0.013356789067945437,0.010914786538295177,0.013415081996316207,0.6452599388379204
128 days,21.997113345970913,4.6901080313752805,3.7988149660468924,0.013186948854110337,0.010914786538295177,0.01324037329576874,0.6636085626911314
129 days,21.52211461119817,4.639193314704419,3.7488182330785516,0.013018600046315169,0.010769073173423087,0.013068210359031688,0.6819571865443425
130 days,21.06577345353116,4.589746556568365,3.6859562976144664,0.01280253994401854,0.010691242166103275,0.012849525976785169,0.7003058103975535
131 days,21.188919554241668,4.603142356504051,3.673249526774636,0.012753861597890652,0.010649337920663889,0.012801531607311388,0.7033639143730888
132 days,21.15684276077346,4.599656809021023,3.675158432555823,0.012757423765266668,0.010649337920663889,0.012804058094439328,0.7033639143730888
133 days,20.791686716919923,4.559790205362515,3.6564359140510443,0.012699374991357162,0.010649337920663889,0.01273863783964065,0.709480122324159
134 days,20.044294156806206,4.477085453373233,3.593111112466145,0.012484687410322019,0.010691242166103275,0.012517807816479192,0.72782874617737
135 days,19.070964073459653,4.367031494443297,3.511971630677092,0.012200247860906649,0.010691242166103275,0.012231344933672969,0.746177370030581
136 days,17.850832806787086,4.2250245924476095,3.388007701530005,0.011763167855094202,0.009858841844501186,0.011794557448853483,0.764525993883792
137 days,16.88676870808152,4.109351373158727,3.267771116091852,0.01133861693545885,0.009432829128574027,0.011370328801001788,0.7798165137614679
138 days,16.635323862380606,4.078642404327769,3.219831935743157,0.011161611403958972,0.009409988657928522,0.011195167159262264,0.7920489296636085
139 days,15.986174121101875,3.998271391626871,3.148931280230643,0.010911282824970957,0.008731042374193995,0.010943624805817091,0.8073394495412844
