index,ds,city_name,y,temp_min,temp_max,rain_1h,clouds_all
4,2014-12-31,Valencia,270.475,270.475,270.475,0.0,0.0
9,2015-01-01,Valencia,275.98698697916666,275.98698697916666,275.98698697916666,0.0,0.0
14,2015-01-02,Valencia,276.7848333333333,276.7848333333333,276.7848333333333,0.0,0.0
19,2015-01-03,Valencia,279.2038020833333,279.2038020833333,279.2038020833333,0.0,2.5
24,2015-01-04,Valencia,279.26000000000005,279.26000000000005,279.26000000000005,0.0,0.0
29,2015-01-05,Valencia,278.7573125,278.7573125,278.7573125,0.0,0.0
34,2015-01-06,Valencia,278.10403375000004,278.10403375000004,278.10403375000004,0.0,20.88
39,2015-01-07,Valencia,280.41093229166665,280.41093229166665,280.41093229166665,0.1625,46.291666666666664
44,2015-01-08,Valencia,280.698875,280.698875,280.698875,0.0,5.916666666666667
49,2015-01-09,Valencia,281.49615625,281.49615625,281.49615625,0.0,0.0
54,2015-01-10,Valencia,287.5356041666667,287.5356041666667,287.5356041666667,0.0,0.0
59,2015-01-11,Valencia,286.17359765625,286.17359765625,286.17359765625,0.0,1.75
64,2015-01-12,Valencia,283.0541666666667,283.0541666666667,283.0541666666667,0.0,48.0
69,2015-01-13,Valencia,284.8541666666667,284.8541666666667,284.8541666666667,0.0,25.5
74,2015-01-14,Valencia,285.9166666666667,285.9166666666667,285.9166666666667,0.0,3.0
79,2015-01-15,Valencia,285.79918880208334,285.79918880208334,285.79918880208334,0.0,9.458333333333334
84,2015-01-16,Valencia,284.39045833333336,284.39045833333336,284.39045833333336,0.0,25.333333333333332
89,2015-01-17,Valencia,281.24583333333334,281.24583333333334,281.24583333333334,0.0,0.0
94,2015-01-18,Valencia,279.93541666666664,279.93541666666664,279.93541666666664,0.0625,64.16666666666667
99,2015-01-19,Valencia,278.98006119791665,278.98006119791665,278.98006119791665,0.1625,78.79166666666667
104,2015-01-20,Valencia,278.125,278.125,278.125,0.0,53.75
109,2015-01-21,Valencia,279.2103736979167,279.2103736979167,279.2103736979167,0.0,40.125
114,2015-01-22,Valencia,280.63422916666667,280.63422916666667,280.63422916666667,0.0375,45.25
119,2015-01-23,Valencia,281.384875,281.384875,281.384875,0.0,0.0
124,2015-01-24,Valencia,281.4559518229167,281.4559518229167,281.4559518229167,0.0,0.0
129,2015-01-25,Valencia,284.0022916666667,284.0022916666667,284.0022916666667,0.0,0.0
134,2015-01-26,Valencia,280.21918750000003,280.21918750000003,280.21918750000003,0.0,7.916666666666667
139,2015-01-27,Valencia,282.3953333333333,282.3953333333333,282.3953333333333,0.0,6.25
144,2015-01-28,Valencia,281.82385677083334,281.82385677083334,281.82385677083334,0.0,1.0416666666666667
149,2015-01-29,Valencia,284.2967604166667,284.2967604166667,284.2967604166667,0.0,8.375
154,2015-01-30,Valencia,289.1665078125,289.1665078125,289.1665078125,0.0,1.6666666666666667
159,2015-01-31,Valencia,284.37497916666666,284.37497916666666,284.37497916666666,0.0,1.8333333333333333
164,2015-02-01,Valencia,280.3120833333333,280.3120833333333,280.3120833333333,0.0,1.5416666666666667
169,2015-02-02,Valencia,280.561625,280.561625,280.561625,0.0,57.333333333333336
174,2015-02-03,Valencia,282.48451171875,282.48451171875,282.48451171875,0.0,20.583333333333332
179,2015-02-04,Valencia,278.6958333333333,278.6958333333333,278.6958333333333,0.125,50.916666666666664
184,2015-02-05,Valencia,278.6015625,278.6015625,278.6015625,0.0,6.0
189,2015-02-06,Valencia,277.4545481770833,277.4545481770833,277.4545481770833,0.0,4.083333333333333
194,2015-02-07,Valencia,276.1479166666667,276.1479166666667,276.1479166666667,0.0,22.916666666666668
199,2015-02-08,Valencia,278.0726875,278.0726875,278.0726875,0.0,0.0
204,2015-02-09,Valencia,278.7375416666667,278.7375416666667,278.7375416666667,0.0499999999999999,52.666666666666664
209,2015-02-10,Valencia,281.05625000000003,281.05625000000003,281.05625000000003,0.1625,87.0
